timestamp,accelerationX,accelerationY,accelerationZ
20240826200119,0.02,-0.71,-0.71
20240826200120,0.02,-0.71,-0.71
20240826200122,0.02,-0.71,-0.71
20240826200123,0.02,-0.71,-0.71
20240826200124,0.02,-0.7,-0.71
20240826200125,0.02,-0.7,-0.71
20240826200127,0.02,-0.7,-0.71
20240826200128,0.02,-0.7,-0.71
20240826200129,0.02,-0.7,-0.71
20240826200130,0.02,-0.71,-0.72
20240826200132,0.02,-0.7,-0.72
20240826200133,0.01,-0.67,-0.75
20240826200134,0.01,-0.67,-0.75
20240826200136,0.01,-0.67,-0.75
20240826200137,0.01,-0.67,-0.75
20240826200138,0.01,-0.67,-0.75
20240826200139,0.01,-0.67,-0.74
20240826200141,0.01,-0.67,-0.74
20240826200142,0.01,-0.68,-0.74
20240826200143,0.01,-0.68,-0.74
20240826200144,0.02,-0.68,-0.74
20240826200146,0.01,-0.68,-0.74
20240826200147,0.01,-0.68,-0.74
20240826200148,0.01,-0.68,-0.74
20240826200149,0.01,-0.68,-0.74
20240826200151,0.01,-0.68,-0.74
20240826200152,0.01,-0.68,-0.74
20240826200153,0.01,-0.68,-0.74
20240826200154,0.01,-0.68,-0.74
20240826200156,0.01,-0.68,-0.74
20240826200157,0.01,-0.68,-0.74
20240826200158,0.02,-0.68,-0.73
20240826200159,0.02,-0.68,-0.74
20240826200201,0.02,-0.68,-0.73
20240826200202,0.02,-0.68,-0.74
20240826200203,0.02,-0.68,-0.73
20240826200204,0.01,-0.68,-0.73
20240826200206,0.02,-0.68,-0.73
20240826200207,0.02,-0.68,-0.73
20240826200208,0.01,-0.67,-0.75
20240826200210,0.02,-0.69,-0.73
20240826200211,0.01,-0.69,-0.73
20240826200212,0.02,-0.69,-0.73
20240826200214,0.02,-0.69,-0.73
20240826200215,0.02,-0.69,-0.73
20240826200216,0.02,-0.69,-0.73
20240826200217,0.02,-0.69,-0.73
20240826200219,0.02,-0.69,-0.73
20240826200220,0.02,-0.69,-0.73
20240826200221,0.02,-0.69,-0.73
20240826200222,0.02,-0.69,-0.73
20240826200223,0.02,-0.69,-0.73
20240826200225,0.02,-0.69,-0.73
20240826200226,0.02,-0.69,-0.73
20240826200227,0.02,-0.69,-0.73
20240826200228,0.02,-0.69,-0.73
20240826200230,0.02,-0.69,-0.73
20240826200231,0.02,-0.69,-0.73
20240826200232,0.02,-0.69,-0.73
20240826200233,0.02,-0.69,-0.73
20240826200235,0.02,-0.69,-0.73
20240826200236,0.02,-0.69,-0.73
20240826200237,0.02,-0.69,-0.73
20240826200238,0.02,-0.69,-0.73
20240826200240,0.02,-0.69,-0.73
20240826200241,0.02,-0.69,-0.73
20240826200242,0.02,-0.69,-0.73
20240826200243,0.02,-0.69,-0.73
20240826200245,0.02,-0.69,-0.73
20240826200246,0.02,-0.69,-0.73
20240826200247,0.02,-0.69,-0.73
20240826200248,0.01,-0.69,-0.73
20240826200250,0.01,-0.69,-0.73
20240826200251,0.02,-0.69,-0.73
20240826200252,0.02,-0.69,-0.73
20240826200253,0.01,-0.69,-0.73
20240826200255,0.01,-0.69,-0.73
20240826200256,0.01,-0.69,-0.73
20240826200257,0.02,-0.69,-0.73
20240826200258,0.02,-0.69,-0.73
20240826200300,0.02,-0.69,-0.73
20240826200301,0.02,-0.69,-0.73
20240826200302,0.01,-0.69,-0.73
20240826200303,0.02,-0.69,-0.73
20240826200305,0.02,-0.69,-0.73
20240826200306,0.01,-0.69,-0.73
20240826200307,0.01,-0.69,-0.73
