time,value
2024-09-02T14:55:44.391049594Z,{"lat":-37.867520791513776,"lon":145.21485004587578}
2024-09-02T14:55:45.39203746Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:46.408024058Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:47.39292578Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:48.414058038Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:49.443099899Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:50.45733407Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:51.427842037Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:52.470258572Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:53.434158294Z,{"lat":-37.867629171832206,"lon":145.21488672633856}
2024-09-02T14:55:54.481482276Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:55.473079123Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:56.501952591Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:55:57.49227968Z,{"lat":-37.867568559505855,"lon":145.2148751704554}
2024-09-02T14:55:58.458788117Z,{"lat":-37.86760095804509,"lon":145.2148491896673}
2024-09-02T14:55:59.510997Z,{"lat":-37.86757867823698,"lon":145.21486067961243}
2024-09-02T14:56:00.491982985Z,{"lat":-37.86757296211045,"lon":145.21485545875566}
2024-09-02T14:56:01.522309158Z,{"lat":-37.867572712185535,"lon":145.214844157927}
2024-09-02T14:56:02.542079202Z,{"lat":-37.86756907494758,"lon":145.2148403827673}
2024-09-02T14:56:03.520489034Z,{"lat":-37.86758572826846,"lon":145.21481452314114}
2024-09-02T14:56:04.523121253Z,{"lat":-37.86758180702717,"lon":145.21481027369674}
2024-09-02T14:56:05.541910523Z,{"lat":-37.867627473534654,"lon":145.2149099594276}
2024-09-02T14:56:06.55759855Z,{"lat":-37.8676292652656,"lon":145.21492187729194}
2024-09-02T14:56:07.550212347Z,{"lat":-37.86766684023771,"lon":145.2149172042275}
2024-09-02T14:56:08.570384728Z,{"lat":-37.86768161597455,"lon":145.21488276728596}
2024-09-02T14:56:09.561992041Z,{"lat":-37.86766472072427,"lon":145.21488318152262}
2024-09-02T14:56:10.580109538Z,{"lat":-37.86767741340205,"lon":145.2148884402637}
2024-09-02T14:56:11.574934156Z,{"lat":-37.8676538964404,"lon":145.21486310335766}
2024-09-02T14:56:12.577219151Z,{"lat":-37.86763750911379,"lon":145.2148461372922}
2024-09-02T14:56:13.565315713Z,{"lat":-37.86757889997732,"lon":145.21477892200537}
2024-09-02T14:56:15.561409807Z,{"lat":-37.86762013173746,"lon":145.2148012245296}
2024-09-02T14:56:15.603186901Z,{"lat":-37.86765138872513,"lon":145.2148201608579}
2024-09-02T14:56:16.621878895Z,{"lat":-37.86770515723195,"lon":145.21485499153775}
2024-09-02T14:56:17.621294546Z,{"lat":-37.867580892123755,"lon":145.21479405912766}
2024-09-02T14:56:18.637832131Z,{"lat":-37.86757603180107,"lon":145.21478917457875}
2024-09-02T14:56:19.660277093Z,{"lat":-37.86758005484449,"lon":145.21478536974155}
2024-09-02T14:56:20.671048097Z,{"lat":-37.86757198697571,"lon":145.2147795464628}
2024-09-02T14:56:21.678093238Z,{"lat":-37.86758085500111,"lon":145.2147766564611}
2024-09-02T14:56:22.66791274Z,{"lat":-37.867575858618125,"lon":145.21477001245222}
2024-09-02T14:56:23.674795064Z,{"lat":-37.86758304897132,"lon":145.21476770062787}
2024-09-02T14:56:24.694353999Z,{"lat":-37.86758142577445,"lon":145.21476194105912}
2024-09-02T14:56:25.706460272Z,{"lat":-37.86757804715676,"lon":145.21475563775866}
