Timestamp,X,Y,Z
20240728014044,0.10,0.86,0.44
20240728014045,0.10,0.86,0.45
20240728014046,0.10,0.87,0.43
20240728014047,0.10,0.86,0.44
20240728014048,0.10,0.86,0.44
20240728014049,0.10,0.86,0.44
20240728014050,0.09,0.87,0.42
20240728014051,0.09,0.85,0.44
20240728014052,0.10,0.87,0.42
20240728014053,0.10,0.89,0.37
20240728014054,0.10,0.87,0.41
20240728014055,0.10,0.88,0.39
20240728014056,0.10,0.90,0.36
20240728014057,0.10,0.91,0.31
20240728014058,0.10,0.88,0.39
20240728014059,0.10,0.88,0.40
20240728014100,0.10,0.89,0.37
20240728014101,0.10,0.88,0.38
20240728014102,0.10,0.88,0.40
20240728014103,0.10,0.87,0.41
20240728014104,0.09,0.88,0.41
20240728014105,0.10,0.88,0.41
20240728014106,0.10,0.85,0.45
20240728014107,0.09,0.83,0.50
20240728014108,0.10,0.85,0.47
20240728014109,0.10,0.84,0.48
20240728014111,0.09,0.83,0.50
20240728014112,0.10,0.84,0.48
20240728014113,0.10,0.84,0.48
20240728014114,0.10,0.88,0.40
20240728014115,0.10,0.86,0.43
20240728014116,0.10,0.86,0.45
20240728014117,0.10,0.85,0.46
20240728014118,0.10,0.87,0.42
20240728014119,0.10,0.83,0.49
20240728014120,0.10,0.86,0.44
20240728014121,0.10,0.84,0.48
20240728014122,0.09,0.84,0.49
20240728014123,0.09,0.82,0.52
20240728014124,0.09,0.80,0.55
20240728014125,0.09,0.79,0.56
20240728014126,0.09,0.81,0.52
20240728014127,0.09,0.84,0.49
20240728014128,0.09,0.79,0.57
20240728014129,0.10,0.84,0.47
20240728014130,0.09,0.84,0.48
20240728014131,0.10,0.83,0.49
20240728014132,0.10,0.85,0.45
20240728014133,0.09,0.83,0.50
20240728014134,0.09,0.83,0.50
20240728014135,0.09,0.81,0.50
20240728014136,0.09,0.78,0.59
20240728014137,0.09,0.80,0.56
20240728014138,0.09,0.79,0.58
20240728014139,0.09,0.78,0.58
20240728014140,0.09,0.79,0.57
20240728014141,0.09,0.81,0.54
20240728014142,0.09,0.84,0.48
20240728014143,0.09,0.82,0.51
20240728014144,0.08,0.82,0.51
20240728014145,0.09,0.80,0.56
20240728014146,0.09,0.78,0.59
20240728014147,0.08,0.81,0.54
20240728014148,0.10,0.88,0.42
20240728014149,0.06,0.85,0.49
20240728014150,0.10,0.89,0.40
